CANT_NAME,CANT_CODE,NUM,ORGAN_ID,REG_AUTHORITY,ID
普兰店区,210214000,14,210200000,0,01086F23D63B5079E0630D0EA8C0D022
普兰店区,210214000,35,210200000,1,01086F23D63C5079E0630D0EA8C0D022
普兰店区,210214000,21,210200000,2,01086F23D63D5079E0630D0EA8C0D022
长海县,210224000,6,210200000,0,01086F23D63E5079E0630D0EA8C0D022
长海县,210224000,3,210200000,1,01086F23D63F5079E0630D0EA8C0D022
长海县,210224000,1,210200000,2,01086F23D6405079E0630D0EA8C0D022
瓦房店市,210281000,21,210200000,0,01086F23D6415079E0630D0EA8C0D022
瓦房店市,210281000,90,210200000,1,01086F23D6425079E0630D0EA8C0D022
瓦房店市,210281000,28,210200000,2,01086F23D6435079E0630D0EA8C0D022
庄河市,210283000,31,210200000,0,01086F23D6445079E0630D0EA8C0D022
庄河市,210283000,56,210200000,1,01086F23D6455079E0630D0EA8C0D022
庄河市,210283000,30,210200000,2,01086F23D6465079E0630D0EA8C0D022
大连金普新区,210290000,0,210200000,,01086F23D6475079E0630D0EA8C0D022
大连金普新区,210291000,0,210200000,,01086F23D6485079E0630D0EA8C0D022
大连高新技术产业园区,210292000,2,210200000,0,01086F23D6495079E0630D0EA8C0D022
大连高新技术产业园区,210292000,5,210200000,1,01086F23D64A5079E0630D0EA8C0D022
大连高新技术产业园区,210292000,1,210200000,2,01086F23D64B5079E0630D0EA8C0D022
大连长兴岛经济区,210293000,0,210200000,,01086F23D64C5079E0630D0EA8C0D022
大连长兴岛经济区,2102A2000,0,210200000,,01086F23D64D5079E0630D0EA8C0D022
大连高新技术产业园区,2102A3000,2,210200000,0,01086F23D64E5079E0630D0EA8C0D022
大连高新技术产业园区,2102A3000,5,210200000,1,01086F23D64F5079E0630D0EA8C0D022
大连高新技术产业园区,2102A3000,1,210200000,2,01086F23D6505079E0630D0EA8C0D022
铁东区,210302000,4,210300000,0,01086F23D6515079E0630D0EA8C0D022
铁东区,210302000,229,210300000,1,01086F23D6525079E0630D0EA8C0D022
铁东区,210302000,27,210300000,2,01086F23D6535079E0630D0EA8C0D022
铁西区,210303000,2,210300000,0,01086F23D6545079E0630D0EA8C0D022
铁西区,210303000,9,210300000,1,01086F23D6555079E0630D0EA8C0D022
铁西区,210303000,16,210300000,2,01086F23D6565079E0630D0EA8C0D022
立山区,210304000,3,210300000,0,01086F23D6575079E0630D0EA8C0D022
立山区,210304000,24,210300000,1,01086F23D6585079E0630D0EA8C0D022
立山区,210304000,9,210300000,2,01086F23D6595079E0630D0EA8C0D022
千山区,210311000,5,210300000,1,01086F23D65A5079E0630D0EA8C0D022
台安县,210321000,5,210300000,1,01086F23D65B5079E0630D0EA8C0D022
台安县,210321000,13,210300000,2,01086F23D65C5079E0630D0EA8C0D022
岫岩满族自治县,210323000,1,210300000,0,01086F23D65D5079E0630D0EA8C0D022
岫岩满族自治县,210323000,32,210300000,1,01086F23D65E5079E0630D0EA8C0D022
岫岩满族自治县,210323000,21,210300000,2,01086F23D65F5079E0630D0EA8C0D022
海城市,210381000,23,210300000,0,01086F23D6605079E0630D0EA8C0D022
